algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	2.62	6.01	0.52	23	0.14	NA	NA	20	"1"
"ras"	"3"	4.18	0.39	0.46	29	NA	19	NA	34	"1"
"acs"	"3"	1.45	7.42	0.91	19	0.4	NA	NA	25	"1"
"acs"	"3"	2.95	6.52	0.13	31	0.67	NA	NA	45	"0"
"acs"	"3"	1.78	5.12	0.45	35	0.91	NA	NA	40	"0"
"acs"	"3"	2.86	3.76	0.41	57	0.53	NA	NA	32	"0"
"acs"	"3"	3.38	6.27	0.04	31	0.3	NA	NA	46	"0"
"ras"	"3"	2.8	2.82	0.79	81	NA	26	NA	41	"1"
"acs"	"3"	2.5	7.76	0.18	40	0.63	NA	NA	45	"0"
"acs"	"3"	2.31	6.22	0.29	38	0.76	NA	NA	49	"0"
"acs"	"3"	4.41	2.41	0.06	36	0.1	NA	NA	42	"1"
"acs"	"3"	2.02	3.28	0.58	47	0.53	NA	NA	24	"0"
"acs"	"3"	4.31	2.18	0.13	45	0.16	NA	NA	46	"0"
"acs"	"3"	2.77	4.28	0.4	60	0.72	NA	NA	24	"0"
"acs"	"3"	2.66	3.65	0.4	52	0.51	NA	NA	36	"0"
"acs"	"3"	3.15	4.57	0.39	61	0.63	NA	NA	21	"0"
"acs"	"3"	3.22	3.29	0.31	54	0.53	NA	NA	33	"0"
"acs"	"3"	3.97	2.35	0.08	39	0.22	NA	NA	39	"0"
"acs"	"3"	3.16	3.54	0.26	53	0.51	NA	NA	40	"0"
"acs"	"3"	4	2.84	0.07	39	0.24	NA	NA	37	"0"
"acs"	"3"	3.46	5.38	0.49	62	0.62	NA	NA	21	"0"
"acs"	"3"	3.54	5	0.52	65	0.57	NA	NA	22	"0"
"acs"	"3"	3.88	2.78	0.08	39	0.21	NA	NA	34	"0"
"acs"	"3"	3.57	1.12	0.53	39	0.17	NA	NA	18	"1"
"acs"	"3"	2.39	2.22	0.92	32	0.41	NA	NA	24	"1"
"acs"	"3"	1.73	6.2	0.86	45	0.7	NA	NA	12	"1"
"acs"	"3"	3.78	4.76	0.62	73	0.77	NA	NA	46	"1"
"acs"	"3"	2.8	3.99	0.59	9	0.7	NA	NA	24	"1"
"acs"	"3"	2.91	5.83	0.6	15	0.84	NA	NA	11	"1"
"acs"	"3"	3.47	7.91	0.82	58	0.75	NA	NA	9	"0"
"ras"	"3"	3.07	4.84	0.77	59	NA	12	NA	30	"0"
"acs"	"3"	3.54	7.83	0.63	62	0.61	NA	NA	14	"1"
"acs"	"3"	3.6	9.27	0.64	64	0.76	NA	NA	19	"0"
"ras"	"3"	3.08	3.78	0.66	58	NA	10	NA	25	"0"
"acs"	"3"	3.12	9.3	0.38	51	0.66	NA	NA	12	"1"
"ras"	"3"	3.63	4.75	0.68	65	NA	16	NA	20	"0"
"ras"	"3"	2.62	3.06	0.84	42	NA	11	NA	22	"0"
"ras"	"3"	2.33	2.92	0.92	43	NA	14	NA	34	"0"
"ras"	"3"	2.58	3.01	0.79	48	NA	12	NA	21	"0"
"ras"	"3"	2.49	2.94	0.88	37	NA	11	NA	31	"0"
"ras"	"3"	2.82	2.86	0.93	37	NA	14	NA	18	"0"
"ras"	"3"	2.36	2.87	0.9	38	NA	13	NA	21	"0"
"ras"	"3"	2.61	2.57	0.74	51	NA	15	NA	22	"0"
"ras"	"3"	2.64	2.88	0.76	44	NA	21	NA	21	"0"
"ras"	"3"	2.24	2.88	0.95	38	NA	13	NA	22	"0"
"ras"	"3"	2.41	2.73	0.92	36	NA	13	NA	21	"0"
"mmas"	"3"	4.08	1.96	0.33	90	NA	NA	NA	48	"0"
"mmas"	"3"	3.85	3.67	0.1	22	NA	NA	NA	17	"1"
"eas"	"3"	2.79	5	0.35	30	NA	NA	29	8	"0"
"acs"	"3"	4.06	1.84	0.2	29	0.27	NA	NA	19	"1"
"acs"	"3"	3.61	0.92	0.3	14	0.4	NA	NA	9	"1"
"mmas"	"3"	4.79	1.59	0.05	18	NA	NA	NA	17	"0"
"mmas"	"3"	4.04	5.56	0.13	23	NA	NA	NA	11	"0"
"acs"	"3"	2.83	3.78	0.69	66	0.4	NA	NA	26	"1"
"acs"	"3"	4.86	1.6	0.08	54	0.79	NA	NA	10	"0"
"mmas"	"3"	4.59	2.07	0.09	18	NA	NA	NA	8	"0"
"mmas"	"3"	3.49	1.83	0.04	8	NA	NA	NA	11	"0"
"mmas"	"3"	4.65	4.94	0.11	20	NA	NA	NA	16	"0"
"acs"	"3"	4.8	2.31	0.16	60	0.91	NA	NA	17	"0"
"acs"	"3"	4.98	3.21	0.07	53	0.82	NA	NA	16	"0"
"acs"	"3"	4.87	1.73	0.08	52	0.66	NA	NA	10	"0"
"acs"	"3"	4.49	1.67	0.17	62	0.91	NA	NA	13	"0"
"acs"	"3"	4.87	3.44	0.08	53	0.69	NA	NA	13	"0"
"acs"	"3"	3.97	2.49	0.14	65	0.97	NA	NA	11	"0"
"acs"	"3"	4.74	3.47	0.05	47	0.68	NA	NA	9	"0"
"acs"	"3"	4.85	1.59	0.09	51	0.78	NA	NA	10	"0"
"acs"	"3"	4.65	0.88	0.05	43	0.68	NA	NA	9	"0"
"acs"	"3"	3.98	2.99	0.15	64	0.94	NA	NA	11	"0"
"acs"	"3"	3.56	0.34	0.56	46	0.35	NA	NA	43	"0"
"acs"	"3"	1.72	5.42	0.83	38	0.78	NA	NA	38	"0"
"mmas"	"3"	3.36	2.76	0.2	48	NA	NA	NA	26	"1"
"acs"	"3"	2.89	6.83	0.72	33	0.51	NA	NA	33	"0"
"acs"	"3"	3.26	2.18	0.1	14	0.84	NA	NA	23	"1"
"acs"	"3"	3.19	2.97	0.35	34	0.29	NA	NA	10	"0"
"acs"	"3"	3.17	0.02	0.98	51	0.03	NA	NA	24	"0"
"acs"	"3"	3.74	3.34	0.16	61	0.96	NA	NA	49	"0"
"acs"	"3"	4.18	3.47	0.34	62	0.64	NA	NA	48	"0"
"acs"	"3"	2.51	4.63	0.31	22	0.73	NA	NA	14	"0"
"mmas"	"3"	2.73	3.06	0.22	37	NA	NA	NA	30	"0"
"acs"	"3"	4.14	2.03	0.22	53	0.2	NA	NA	35	"0"
"acs"	"3"	3.86	5.66	0.26	59	0.79	NA	NA	42	"1"
"acs"	"3"	4.47	6.4	0.37	64	0.88	NA	NA	48	"0"
"mmas"	"3"	2.64	1.09	0.16	25	NA	NA	NA	40	"0"
"acs"	"3"	4.39	6.38	0.21	53	0.78	NA	NA	46	"0"
"acs"	"3"	4.27	6.99	0.25	58	0.75	NA	NA	48	"0"
"acs"	"3"	4.12	2.35	0.19	54	0.02	NA	NA	38	"0"
"acs"	"3"	3.96	6.92	0.29	56	0.78	NA	NA	47	"0"
"acs"	"3"	4.16	6.93	0.21	60	0.8	NA	NA	41	"0"
"acs"	"3"	4.36	6.12	0.15	51	0.76	NA	NA	45	"0"
"acs"	"3"	4.17	6.75	0.23	54	0.71	NA	NA	49	"0"
"acs"	"3"	1.82	1.75	0.76	38	0.2	NA	NA	13	"0"
"mmas"	"3"	3.7	5.5	0.39	74	NA	NA	NA	19	"0"
"acs"	"3"	2.84	0.34	0.69	33	0.46	NA	NA	8	"0"
"acs"	"3"	3.5	6.83	0.6	46	0.68	NA	NA	21	"0"
"acs"	"3"	2.15	7.1	0.43	9	0.41	NA	NA	41	"1"
"acs"	"3"	1.41	3.87	0.79	22	0.87	NA	NA	35	"1"
"acs"	"3"	2.73	3.25	0.58	43	0.32	NA	NA	12	"0"
"acs"	"3"	2.36	1.52	0.99	51	0.13	NA	NA	15	"1"
"acs"	"3"	4.33	5.11	0.5	70	0.17	NA	NA	20	"1"
"acs"	"3"	2.26	3.89	0.59	39	0.38	NA	NA	11	"0"
"acs"	"3"	1.41	1.84	0.6	44	0.84	NA	NA	28	"1"
"acs"	"3"	1.72	2.73	0.98	41	0.29	NA	NA	15	"0"
"acs"	"3"	2.78	1.24	0.95	54	0.12	NA	NA	19	"0"
"acs"	"3"	2.26	3.37	0.96	49	0.24	NA	NA	8	"0"
"acs"	"3"	2.28	4.22	0.54	48	0.65	NA	NA	19	"0"
"acs"	"3"	2.62	2.76	0.66	52	0.47	NA	NA	16	"0"
"acs"	"3"	2.6	4.68	0.51	52	0.52	NA	NA	30	"0"
"acs"	"3"	2.43	3.25	0.52	43	0.29	NA	NA	16	"0"
"acs"	"3"	2.24	4.34	0.44	46	0.31	NA	NA	13	"0"
"acs"	"3"	2.63	4.28	0.45	53	0.35	NA	NA	16	"0"
"acs"	"3"	1.96	3.05	0.47	36	0.25	NA	NA	12	"0"
"acs"	"3"	2.78	5.19	0.51	60	0.64	NA	NA	24	"0"
"acs"	"3"	2.5	5.51	0.51	53	0.37	NA	NA	12	"0"
"acs"	"3"	2.67	4.26	0.45	52	0.24	NA	NA	15	"0"
"ras"	"3"	2.9	0.72	0.82	94	NA	9	NA	46	"0"
"acs"	"3"	3.5	9.04	0.23	49	0.32	NA	NA	39	"0"
"mmas"	"3"	4.28	6.23	0.27	28	NA	NA	NA	34	"1"
"acs"	"3"	3.31	7.11	0.25	20	0.27	NA	NA	33	"1"
"ras"	"3"	3.35	1.79	0.7	59	NA	31	NA	34	"1"
"acs"	"3"	3.92	9.51	0.07	35	0.7	NA	NA	30	"0"
"acs"	"3"	2.68	7.44	0.43	50	0.56	NA	NA	28	"0"
"acs"	"3"	3.4	8.21	0.26	32	0.59	NA	NA	35	"0"
"acs"	"3"	4.97	8.21	0.22	59	0.67	NA	NA	20	"0"
"acs"	"3"	4.31	9.61	0.15	46	0.54	NA	NA	15	"0"
"acs"	"3"	2.56	8.03	0.07	22	0.82	NA	NA	34	"0"
"acs"	"3"	4.37	7.09	0.18	53	0.74	NA	NA	18	"0"
"acs"	"3"	4.06	9.25	0.1	41	0.45	NA	NA	14	"0"
"acs"	"3"	4.22	9.42	0.14	48	0.59	NA	NA	13	"0"
"acs"	"3"	3.75	8.54	0.08	38	0.58	NA	NA	13	"0"
"acs"	"3"	4.26	9.42	0.13	43	0.49	NA	NA	19	"0"
"acs"	"3"	4.13	9.95	0.19	49	0.66	NA	NA	13	"0"
"acs"	"3"	4	9.51	0.12	43	0.45	NA	NA	11	"0"
"acs"	"3"	4.12	8.89	0.05	38	0.6	NA	NA	10	"0"
"mmas"	"3"	1.06	3.23	0.95	21	NA	NA	NA	43	"0"
"acs"	"3"	1.84	1.67	0.55	42	0.65	NA	NA	42	"1"
"acs"	"3"	2.42	5.49	0.74	31	0.49	NA	NA	28	"1"
"acs"	"3"	4.06	3.19	0.58	72	0.77	NA	NA	22	"1"
"acs"	"3"	1.98	4.99	0.75	40	0.36	NA	NA	39	"0"
"acs"	"3"	2.61	7.82	0.48	17	0.83	NA	NA	34	"1"
"acs"	"3"	2.58	7.72	0.87	62	0.5	NA	NA	12	"1"
