particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
21	"4"	"0"	NA	NA	1.89	2.36	0.38
134	"4"	"0"	NA	NA	2.09	2.3	0.53
9	"1"	"0"	NA	NA	1.54	2.48	0.26
142	"4"	"0"	NA	NA	1.27	2.48	0.5
67	"4"	"0"	NA	NA	1.58	2.49	0.41
66	"1"	"1"	NA	NA	2.05	1.48	0.59
90	"4"	"0"	NA	NA	1.94	2.4	0.65
162	"4"	"2"	NA	NA	0.44	2.37	0.81
85	"4"	"0"	NA	NA	2.15	2.28	0.55
45	"4"	"0"	NA	NA	1.79	2.42	0.5
82	"4"	"0"	NA	NA	1.24	2.44	0.35
106	"4"	"0"	NA	NA	1.91	2.36	0.46
77	"4"	"0"	NA	NA	1.28	2.47	0.42
57	"4"	"0"	NA	NA	0.59	2.22	0.56
20	"0"	"1"	NA	NA	2.46	2.08	0.31
108	"4"	"0"	NA	NA	2.14	2.28	0.67
142	"4"	"0"	NA	NA	2.03	2.45	0.37
101	"4"	"0"	NA	NA	2.28	2.16	0.5
6	"5"	"0"	NA	6	2.43	2.33	0.21
18	"0"	"1"	NA	NA	1.86	2.3	0.24
149	"4"	"0"	NA	NA	1.24	2.43	0.4
138	"4"	"0"	NA	NA	2.42	2.48	0.58
15	"0"	"1"	NA	NA	1.34	2.03	0.19
144	"4"	"0"	NA	NA	1.96	2.47	0.6
119	"4"	"0"	NA	NA	0.85	2.49	0.5
56	"1"	"1"	NA	NA	2.15	2.11	0.57
76	"4"	"0"	NA	NA	2.25	2.43	0.61
75	"4"	"0"	NA	NA	1.87	2.34	0.55
165	"4"	"0"	NA	NA	2.45	2.44	0.37
71	"4"	"0"	NA	NA	1.86	2.42	0.65
92	"4"	"0"	NA	NA	1.3	2.43	0.41
14	"4"	"0"	NA	NA	1.38	2.15	0.26
80	"4"	"0"	NA	NA	1.65	2.5	0.27
11	"4"	"0"	NA	NA	1.41	2.38	0.48
40	"1"	"1"	NA	NA	2.47	2.15	0.44
134	"4"	"0"	NA	NA	2.01	2.42	0.53
102	"4"	"0"	NA	NA	2.17	2.48	0.43
109	"4"	"0"	NA	NA	1.97	2.44	0.56
162	"0"	"0"	NA	NA	1.96	2.26	0.18
21	"0"	"1"	NA	NA	2.25	2.32	0.22
38	"4"	"0"	NA	NA	2.21	1.6	0.53
150	"4"	"0"	NA	NA	1.95	2.33	0.58
4	"4"	"2"	NA	NA	1.77	2.47	0.41
105	"4"	"0"	NA	NA	0.43	2.38	0.25
75	"4"	"0"	NA	NA	2.17	2.11	0.61
115	"1"	"1"	NA	NA	2.36	2.43	0.66
115	"4"	"0"	NA	NA	2.26	2.13	0.74
83	"4"	"0"	NA	NA	2.38	2.39	0.11
38	"4"	"0"	NA	NA	2.46	1.83	0.67
83	"4"	"0"	NA	NA	1.42	2.41	0.7
79	"4"	"0"	NA	NA	1.02	2.39	0.45
83	"4"	"0"	NA	NA	2.35	2.47	0.44
25	"1"	"0"	NA	NA	1.69	2.28	0.33
89	"4"	"2"	NA	NA	2.41	2.46	0.72
25	"1"	"2"	NA	NA	2.11	2.38	0.3
103	"4"	"0"	NA	NA	0.96	2.24	0.45
84	"4"	"0"	NA	NA	2.11	2.48	0.32
103	"4"	"0"	NA	NA	0.5	2.49	0.48
28	"0"	"0"	NA	NA	1.99	1.81	0.13
22	"1"	"1"	NA	NA	2.31	2.37	0.25
47	"1"	"0"	NA	NA	2.09	2.05	0.14
85	"4"	"0"	NA	NA	2.11	2.33	0.54
104	"4"	"0"	NA	NA	2.27	2.39	0.41
90	"4"	"0"	NA	NA	0.31	2.31	0.15
113	"4"	"0"	NA	NA	2.23	2.37	0.6
93	"4"	"0"	NA	NA	1.89	1.55	0.42
53	"1"	"0"	NA	NA	2.25	2.49	0.64
136	"4"	"2"	NA	NA	1.47	2.26	0.82
58	"0"	"0"	NA	NA	1.01	1.62	0.12
91	"4"	"0"	NA	NA	2.43	2.31	0.5
68	"4"	"0"	NA	NA	0.99	2.49	0.28
21	"4"	"0"	NA	NA	2.3	2.28	0.31
113	"4"	"0"	NA	NA	2.17	2.37	0.39
167	"4"	"2"	NA	NA	1.24	2.46	0.63
153	"4"	"0"	NA	NA	1.84	2.45	0.31
90	"4"	"0"	NA	NA	1.66	2.3	0.57
84	"4"	"0"	NA	NA	0.78	2.24	0.29
135	"4"	"0"	NA	NA	1.32	2.29	0.57
88	"0"	"0"	NA	NA	1.68	2.5	0.22
200	"4"	"2"	NA	NA	2.48	2.31	0.64
